filename,format,tool,n_components,source_path
58804d12603028a871de1853a770e34c6532b136,CycloneDX-JSON,cyclonedx-php-composer,9,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\5\58804d12603028a871de1853a770e34c6532b136
dc574aaff68b0120bbf563fc13a11c1bd2ae4d80,CycloneDX-JSON,Gemnasium,17,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\dc574aaff68b0120bbf563fc13a11c1bd2ae4d80
5f8e2a1dbedd8c1a6b3746c90a777929611865ac,CycloneDX-JSON,cyclonedx-php-composer,8,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\5\5f8e2a1dbedd8c1a6b3746c90a777929611865ac
ccc784e47ef84d27346ac353615fa4db9295cd7d,CycloneDX-JSON,CycloneDX Maven plugin,59,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\ccc784e47ef84d27346ac353615fa4db9295cd7d
62557d02bbfd4dadc5a1c1bdb5d9864e5965691e,CycloneDX-JSON,Gemnasium,55,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\62557d02bbfd4dadc5a1c1bdb5d9864e5965691e
bd2c0414c4048571f8a2b07227f5163fb7f3147b,CycloneDX-JSON,cdxgen,18,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\bd2c0414c4048571f8a2b07227f5163fb7f3147b
132ee943d253876fc64ff757d9b438d49fd1f457,CycloneDX-JSON,Gemnasium,1095,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\132ee943d253876fc64ff757d9b438d49fd1f457
001baa3eb79a0e698f77c6b2cfe88c9cc2bf0d79,CycloneDX-JSON,Github Extractor,20,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\0\001baa3eb79a0e698f77c6b2cfe88c9cc2bf0d79
d309564d61f0bf5b351139d5dbe553ef8493d198,CycloneDX-JSON,cdxgen,14,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\d309564d61f0bf5b351139d5dbe553ef8493d198
6d03b70ef87d4b4883210da1b8e67111c7a6545e,CycloneDX-JSON,Node.js module,1157,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\6d03b70ef87d4b4883210da1b8e67111c7a6545e
4d554ae71c3e9f233586dbbee2b85178048790c5,CycloneDX-JSON,cyclonedx-gomod,114,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\4d554ae71c3e9f233586dbbee2b85178048790c5
cddd4a7844d652515827a9ea45abe3f47a8f817b,SPDX-JSON,syft,142,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\cddd4a7844d652515827a9ea45abe3f47a8f817b
bc9fc8c9c70db345c1327317589612ae9aaafa9a,CycloneDX-JSON,cdxgen,101,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\bc9fc8c9c70db345c1327317589612ae9aaafa9a
